n,n_failures,n_correct,n_alarms,n_missed_failures,n_false_alarms,prevalence,miss_rate,failure_recall,false_alarm_rate,alarm_rate,alarms_per_minute,false_alarms_per_minute,precision,mean_score,threshold,coverage,risk
1050,95,955,1,94,0,0.09047619047619047,0.9894736842105263,0.010526315789473717,0.0,0.0009523809523809524,1.4285714285714286,0.0,1.0,0.10484886914491653,0.9930903315544128,0.0009523809523809524,0.9894736842105263
1050,95,955,11,86,2,0.09047619047619047,0.9052631578947369,0.09473684210526312,0.0020942408376963353,0.010476190476190476,15.714285714285715,2.857142857142857,0.8181818181818182,0.10484886914491653,0.9624239045381545,0.010476190476190476,0.9052631578947369
1050,95,955,21,81,7,0.09047619047619047,0.8526315789473684,0.1473684210526316,0.007329842931937173,0.02,30.000000000000004,10.0,0.6666666666666666,0.10484886914491653,0.9183637189865111,0.02,0.8526315789473684
1050,95,955,32,74,11,0.09047619047619047,0.7789473684210526,0.2210526315789474,0.011518324607329843,0.030476190476190476,45.714285714285715,15.714285714285715,0.65625,0.10484886914491653,0.867720207571983,0.030476190476190476,0.7789473684210526
1050,95,955,42,67,14,0.09047619047619047,0.7052631578947368,0.2947368421052632,0.014659685863874346,0.04,60.00000000000001,20.0,0.6666666666666666,0.10484886914491653,0.8193232798576355,0.04,0.7052631578947368
1050,95,955,53,58,16,0.09047619047619047,0.6105263157894737,0.3894736842105263,0.016753926701570682,0.05047619047619047,75.71428571428572,22.857142857142858,0.6981132075471698,0.10484886914491653,0.6680767804384214,0.05047619047619047,0.6105263157894737
1050,95,955,63,57,25,0.09047619047619047,0.6,0.4,0.02617801047120419,0.06,90.0,35.714285714285715,0.6031746031746031,0.10484886914491653,0.5521225941181178,0.06,0.6
1050,95,955,74,54,33,0.09047619047619047,0.5684210526315789,0.43157894736842106,0.03455497382198953,0.07047619047619047,105.71428571428572,47.142857142857146,0.5540540540540541,0.10484886914491653,0.5037224829196927,0.07047619047619047,0.5684210526315789
1050,95,955,84,51,40,0.09047619047619047,0.5368421052631579,0.4631578947368421,0.041884816753926704,0.08,120.00000000000001,57.142857142857146,0.5238095238095238,0.10484886914491653,0.46782788276672366,0.08,0.5368421052631579
1050,95,955,95,50,50,0.09047619047619047,0.5263157894736842,0.4736842105263158,0.05235602094240838,0.09047619047619047,135.71428571428572,71.42857142857143,0.47368421052631576,0.10484886914491653,0.4270225554704667,0.09047619047619047,0.5263157894736842
1050,95,955,105,46,56,0.09047619047619047,0.4842105263157895,0.5157894736842106,0.05863874345549738,0.1,150.0,80.0,0.4666666666666667,0.10484886914491653,0.38716610372066507,0.1,0.4842105263157895
1050,95,955,116,46,67,0.09047619047619047,0.4842105263157895,0.5157894736842106,0.07015706806282722,0.11047619047619048,165.71428571428572,95.71428571428572,0.4224137931034483,0.10484886914491653,0.35402641505002974,0.11047619047619048,0.4842105263157895
1050,95,955,126,44,75,0.09047619047619047,0.4631578947368421,0.5368421052631579,0.07853403141361257,0.12,180.0,107.14285714285715,0.40476190476190477,0.10484886914491653,0.3170596027374268,0.12,0.4631578947368421
1050,95,955,137,41,83,0.09047619047619047,0.43157894736842106,0.5684210526315789,0.08691099476439791,0.13047619047619047,195.71428571428572,118.57142857142858,0.39416058394160586,0.10484886914491653,0.28934990108013153,0.13047619047619047,0.43157894736842106
1050,95,955,147,40,92,0.09047619047619047,0.42105263157894735,0.5789473684210527,0.09633507853403141,0.14,210.0,131.42857142857144,0.3741496598639456,0.10484886914491653,0.247122730910778,0.14,0.42105263157894735
1050,95,955,158,39,102,0.09047619047619047,0.4105263157894737,0.5894736842105264,0.1068062827225131,0.15047619047619049,225.71428571428572,145.71428571428572,0.35443037974683544,0.10484886914491653,0.2055275611579417,0.15047619047619049,0.4105263157894737
1050,95,955,168,39,112,0.09047619047619047,0.4105263157894737,0.5894736842105264,0.11727748691099477,0.16,240.00000000000003,160.0,0.3333333333333333,0.10484886914491653,0.17495061099529263,0.16,0.4105263157894737
1050,95,955,179,39,123,0.09047619047619047,0.4105263157894737,0.5894736842105264,0.12879581151832462,0.17047619047619048,255.71428571428572,175.71428571428572,0.3128491620111732,0.10484886914491653,0.15795084819197647,0.17047619047619048,0.4105263157894737
1050,95,955,189,37,131,0.09047619047619047,0.3894736842105263,0.6105263157894737,0.13717277486910995,0.18,270.0,187.14285714285717,0.30687830687830686,0.10484886914491653,0.1409072253108025,0.18,0.3894736842105263
1050,95,955,200,36,141,0.09047619047619047,0.37894736842105264,0.6210526315789473,0.14764397905759163,0.19047619047619047,285.7142857142857,201.42857142857144,0.295,0.10484886914491653,0.1248034399002791,0.19047619047619047,0.37894736842105264
1050,95,955,210,35,150,0.09047619047619047,0.3684210526315789,0.631578947368421,0.15706806282722513,0.2,300.0,214.2857142857143,0.2857142857142857,0.10484886914491653,0.10907420367002489,0.2,0.3684210526315789
1050,95,955,221,32,158,0.09047619047619047,0.3368421052631579,0.6631578947368422,0.16544502617801046,0.21047619047619048,315.7142857142857,225.71428571428572,0.2850678733031674,0.10484886914491653,0.09380989365279678,0.21047619047619048,0.3368421052631579
1050,95,955,231,31,167,0.09047619047619047,0.3263157894736842,0.6736842105263158,0.17486910994764399,0.22,330.0,238.57142857142858,0.27705627705627706,0.10484886914491653,0.07337908849120152,0.22,0.3263157894736842
1050,95,955,242,30,177,0.09047619047619047,0.3157894736842105,0.6842105263157895,0.18534031413612564,0.23047619047619047,345.7142857142857,252.85714285714286,0.26859504132231404,0.10484886914491653,0.06537216685712338,0.23047619047619047,0.3157894736842105
1050,95,955,252,30,187,0.09047619047619047,0.3157894736842105,0.6842105263157895,0.19581151832460733,0.24,360.0,267.14285714285717,0.25793650793650796,0.10484886914491653,0.05617976486682893,0.24,0.3157894736842105
1050,95,955,263,28,196,0.09047619047619047,0.29473684210526313,0.7052631578947368,0.20523560209424083,0.25047619047619046,375.7142857142857,280.0,0.25475285171102663,0.10484886914491653,0.04909041803330183,0.25047619047619046,0.29473684210526313
1050,95,955,273,27,205,0.09047619047619047,0.28421052631578947,0.7157894736842105,0.21465968586387435,0.26,390.0,292.8571428571429,0.2490842490842491,0.10484886914491653,0.04381979912519454,0.26,0.28421052631578947
1050,95,955,284,25,214,0.09047619047619047,0.2631578947368421,0.736842105263158,0.22408376963350785,0.2704761904761905,405.7142857142857,305.7142857142857,0.24647887323943662,0.10484886914491653,0.0408107478916645,0.2704761904761905,0.2631578947368421
1050,95,955,294,24,223,0.09047619047619047,0.25263157894736843,0.7473684210526316,0.23350785340314137,0.28,420.0,318.5714285714286,0.24149659863945577,0.10484886914491653,0.036968298405408856,0.28,0.25263157894736843
1050,95,955,305,23,233,0.09047619047619047,0.24210526315789474,0.7578947368421053,0.24397905759162303,0.2904761904761905,435.7142857142857,332.8571428571429,0.2360655737704918,0.10484886914491653,0.03308362394571304,0.2904761904761905,0.24210526315789474
1050,95,955,315,20,240,0.09047619047619047,0.21052631578947367,0.7894736842105263,0.2513089005235602,0.3,450.00000000000006,342.8571428571429,0.23809523809523808,0.10484886914491653,0.030440082959830746,0.3,0.21052631578947367
1050,95,955,326,20,251,0.09047619047619047,0.21052631578947367,0.7894736842105263,0.2628272251308901,0.31047619047619046,465.7142857142857,358.5714285714286,0.23006134969325154,0.10484886914491653,0.027856419943273054,0.31047619047619046,0.21052631578947367
1050,95,955,336,20,261,0.09047619047619047,0.21052631578947367,0.7894736842105263,0.2732984293193717,0.32,480.00000000000006,372.8571428571429,0.22321428571428573,0.10484886914491653,0.0260011038929224,0.32,0.21052631578947367
1050,95,955,347,20,272,0.09047619047619047,0.21052631578947367,0.7894736842105263,0.2848167539267016,0.3304761904761905,495.7142857142857,388.5714285714286,0.21613832853025935,0.10484886914491653,0.024530645459890362,0.3304761904761905,0.21052631578947367
1050,95,955,357,20,282,0.09047619047619047,0.21052631578947367,0.7894736842105263,0.29528795811518327,0.34,510.00000000000006,402.8571428571429,0.21008403361344538,0.10484886914491653,0.022641697451472275,0.34,0.21052631578947367
1050,95,955,368,19,292,0.09047619047619047,0.2,0.8,0.3057591623036649,0.3504761904761905,525.7142857142858,417.14285714285717,0.20652173913043478,0.10484886914491653,0.02090953914448618,0.3504761904761905,0.2
1050,95,955,378,18,301,0.09047619047619047,0.18947368421052632,0.8105263157894737,0.31518324607329845,0.36,540.0,430.0,0.2037037037037037,0.10484886914491653,0.018741456270217897,0.36,0.18947368421052632
1050,95,955,389,17,311,0.09047619047619047,0.17894736842105263,0.8210526315789474,0.3256544502617801,0.37047619047619046,555.7142857142858,444.28571428571433,0.20051413881748073,0.10484886914491653,0.017194695938378572,0.37047619047619046,0.17894736842105263
1050,95,955,399,16,320,0.09047619047619047,0.16842105263157894,0.8315789473684211,0.33507853403141363,0.38,570.0,457.14285714285717,0.19799498746867167,0.10484886914491653,0.01637176126241684,0.38,0.16842105263157894
1050,95,955,410,15,330,0.09047619047619047,0.15789473684210525,0.8421052631578947,0.34554973821989526,0.3904761904761905,585.7142857142858,471.42857142857144,0.1951219512195122,0.10484886914491653,0.015530453491955995,0.3904761904761905,0.15789473684210525
1050,95,955,420,13,338,0.09047619047619047,0.1368421052631579,0.8631578947368421,0.3539267015706806,0.4,600.0,482.8571428571429,0.19523809523809524,0.10484886914491653,0.015054152347147465,0.4,0.1368421052631579
1050,95,955,431,13,349,0.09047619047619047,0.1368421052631579,0.8631578947368421,0.36544502617801045,0.4104761904761905,615.7142857142858,498.5714285714286,0.1902552204176334,0.10484886914491653,0.014289103709161281,0.4104761904761905,0.1368421052631579
1050,95,955,441,13,359,0.09047619047619047,0.1368421052631579,0.8631578947368421,0.37591623036649213,0.42,630.0,512.8571428571429,0.18594104308390022,0.10484886914491653,0.013931985963135959,0.42,0.1368421052631579
1050,95,955,452,13,370,0.09047619047619047,0.1368421052631579,0.8631578947368421,0.387434554973822,0.43047619047619046,645.7142857142858,528.5714285714286,0.18141592920353983,0.10484886914491653,0.013666701773181559,0.43047619047619046,0.1368421052631579
1050,95,955,462,13,380,0.09047619047619047,0.1368421052631579,0.8631578947368421,0.39790575916230364,0.44,660.0,542.8571428571429,0.1774891774891775,0.10484886914491653,0.013247519023716452,0.44,0.1368421052631579
1050,95,955,473,13,391,0.09047619047619047,0.1368421052631579,0.8631578947368421,0.4094240837696335,0.4504761904761905,675.7142857142858,558.5714285714286,0.1733615221987315,0.10484886914491653,0.01299922070465982,0.4504761904761905,0.1368421052631579
1050,95,955,483,12,400,0.09047619047619047,0.12631578947368421,0.8736842105263158,0.418848167539267,0.46,690.0,571.4285714285714,0.17184265010351968,0.10484886914491653,0.012763387858867645,0.46,0.12631578947368421
1050,95,955,494,11,410,0.09047619047619047,0.11578947368421053,0.8842105263157894,0.4293193717277487,0.4704761904761905,705.7142857142858,585.7142857142858,0.1700404858299595,0.10484886914491653,0.01245409645140171,0.4704761904761905,0.11578947368421053
1050,95,955,504,10,419,0.09047619047619047,0.10526315789473684,0.8947368421052632,0.4387434554973822,0.48,720.0,598.5714285714286,0.16865079365079366,0.10484886914491653,0.012202541828155519,0.48,0.10526315789473684
1050,95,955,515,9,429,0.09047619047619047,0.09473684210526316,0.9052631578947369,0.4492146596858639,0.49047619047619045,735.7142857142858,612.8571428571429,0.1669902912621359,0.10484886914491653,0.012002894515171647,0.49047619047619045,0.09473684210526316
1050,95,955,525,6,436,0.09047619047619047,0.06315789473684211,0.9368421052631579,0.45654450261780105,0.5,750.0,622.8571428571429,0.16952380952380952,0.10484886914491653,0.011766050476580858,0.5,0.06315789473684211
1050,95,955,535,5,445,0.09047619047619047,0.05263157894736842,0.9473684210526316,0.46596858638743455,0.5095238095238095,764.2857142857143,635.7142857142858,0.16822429906542055,0.10484886914491653,0.011445600353181361,0.5095238095238095,0.05263157894736842
1050,95,955,546,4,455,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.47643979057591623,0.52,780.0,650.0,0.16666666666666666,0.10484886914491653,0.011276362612843514,0.52,0.042105263157894736
1050,95,955,556,4,465,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.4869109947643979,0.5295238095238095,794.2857142857143,664.2857142857143,0.16366906474820145,0.10484886914491653,0.011052631698548794,0.5295238095238095,0.042105263157894736
1050,95,955,567,4,476,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.49842931937172774,0.54,810.0,680.0,0.16049382716049382,0.10484886914491653,0.010841261316090822,0.54,0.042105263157894736
1050,95,955,577,4,486,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5089005235602094,0.5495238095238095,824.2857142857143,694.2857142857143,0.15771230502599654,0.10484886914491653,0.010579331498593091,0.5495238095238095,0.042105263157894736
1050,95,955,588,4,497,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5204188481675392,0.56,840.0,710.0,0.15476190476190477,0.10484886914491653,0.01051447071135044,0.56,0.042105263157894736
1050,95,955,598,4,507,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5308900523560209,0.5695238095238095,854.2857142857143,724.2857142857143,0.15217391304347827,0.10484886914491653,0.010393141759559512,0.5695238095238095,0.042105263157894736
1050,95,955,609,4,518,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5424083769633508,0.58,870.0,740.0,0.14942528735632185,0.10484886914491653,0.01024480525404215,0.58,0.042105263157894736
1050,95,955,621,4,530,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5549738219895288,0.5914285714285714,887.1428571428572,757.1428571428572,0.14653784219001612,0.10484886914491653,0.010063198395073414,0.5914285714285714,0.042105263157894736
1050,95,955,630,4,539,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5643979057591623,0.6,900.0000000000001,770.0,0.14444444444444443,0.10484886914491653,0.009927572496235371,0.6,0.042105263157894736
1050,95,955,641,4,550,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5759162303664922,0.6104761904761905,915.7142857142858,785.7142857142858,0.1419656786271451,0.10484886914491653,0.009844346903264523,0.6104761904761905,0.042105263157894736
1050,95,955,651,4,560,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5863874345549738,0.62,930.0000000000001,800.0,0.13978494623655913,0.10484886914491653,0.009740046393126249,0.62,0.042105263157894736
1050,95,955,661,4,570,0.09047619047619047,0.042105263157894736,0.9578947368421052,0.5968586387434555,0.6295238095238095,944.2857142857143,814.2857142857143,0.13767019667170954,0.10484886914491653,0.009603724926710128,0.6295238095238095,0.042105263157894736
1050,95,955,672,3,580,0.09047619047619047,0.031578947368421054,0.968421052631579,0.6073298429319371,0.64,960.0000000000001,828.5714285714287,0.13690476190476192,0.10484886914491653,0.009489593468606472,0.64,0.031578947368421054
1050,95,955,682,3,590,0.09047619047619047,0.031578947368421054,0.968421052631579,0.6178010471204188,0.6495238095238095,974.2857142857143,842.8571428571429,0.1348973607038123,0.10484886914491653,0.009425116144120694,0.6495238095238095,0.031578947368421054
1050,95,955,693,3,601,0.09047619047619047,0.031578947368421054,0.968421052631579,0.6293193717277487,0.66,990.0000000000001,858.5714285714287,0.13275613275613277,0.10484886914491653,0.00930875778198242,0.66,0.031578947368421054
1050,95,955,703,2,610,0.09047619047619047,0.021052631578947368,0.9789473684210527,0.6387434554973822,0.6695238095238095,1004.2857142857143,871.4285714285714,0.13229018492176386,0.10484886914491653,0.009150309152901171,0.6695238095238095,0.021052631578947368
1050,95,955,714,1,620,0.09047619047619047,0.010526315789473684,0.9894736842105263,0.6492146596858639,0.68,1020.0000000000001,885.7142857142858,0.13165266106442577,0.10484886914491653,0.009014411978423596,0.68,0.010526315789473684
1050,95,955,724,1,630,0.09047619047619047,0.010526315789473684,0.9894736842105263,0.6596858638743456,0.6895238095238095,1034.2857142857144,900.0000000000001,0.1298342541436464,0.10484886914491653,0.008970118314027786,0.6895238095238095,0.010526315789473684
1050,95,955,735,1,641,0.09047619047619047,0.010526315789473684,0.9894736842105263,0.6712041884816754,0.7,1050.0,915.7142857142858,0.12789115646258503,0.10484886914491653,0.008837902173399925,0.7,0.010526315789473684
1050,95,955,745,1,651,0.09047619047619047,0.010526315789473684,0.9894736842105263,0.6816753926701571,0.7095238095238096,1064.2857142857144,930.0000000000001,0.1261744966442953,0.10484886914491653,0.008652445990592242,0.7095238095238096,0.010526315789473684
