protocol,tau,model,source,n_frames,n_failures,failure_rate,prevalence_baseline_auprc,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,n_bootstraps
clean_test,0.5,TCSR-Monitor,score_file,825,14,0.01696969696969697,0.01696969696969697,0.8766954377311961,0.7596628643637519,0.9734744411690406,0.4684926463201902,0.2134166790933107,0.7597707402145917,1000.0
clean_test,0.5,Max-softmax,score_file,825,14,0.01696969696969697,0.01696969696969697,0.5357142857142857,0.5247321428571429,0.6444642857142858,0.08718614718614719,0.07276731601731602,0.30023160173160196,672.0
clean_test,0.5,Entropy,score_file,825,14,0.01696969696969697,0.01696969696969697,0.7641359873172451,0.5491881269013528,0.9545064000605922,0.6354097220892094,0.35135747076363516,0.8785585053058649,1000.0
clean_test,0.5,Temporal heuristic,score_file,825,14,0.01696969696969697,0.01696969696969697,0.3382067993658623,0.20011117439144194,0.488089904422619,0.012966751816254236,0.00721517933131731,0.023830226464583413,1000.0
clean_test,0.75,TCSR-Monitor,score_file,825,57,0.06909090909090909,0.06909090909090909,0.7928659539473685,0.7393953993055555,0.8439418445047122,0.30071109701842497,0.19464714099787866,0.4334742371369706,1000.0
clean_test,0.75,Max-softmax,score_file,825,57,0.06909090909090909,0.06909090909090909,0.5087719298245614,0.5071428571428571,0.5334604519774011,0.08542264752791068,0.07628458498023716,0.1344632768361582,672.0
clean_test,0.75,Entropy,score_file,825,57,0.06909090909090909,0.06909090909090909,0.4834612573099415,0.38563170346845005,0.5673670814942645,0.22047790237411105,0.12406723144863085,0.3137605904960684,1000.0
clean_test,0.75,Temporal heuristic,score_file,825,57,0.06909090909090909,0.06909090909090909,0.4598410087719298,0.3697811845306675,0.5504720395371252,0.07421070613240022,0.05072047424593046,0.1153199737613257,1000.0
clean_test_e3_paired,0.75,E3 paired full monitor,E3_score_file,825,57,0.06909090909090909,0.06909090909090909,0.6721377010233918,0.6115599211232241,0.7354793981661356,0.13189363346071395,0.08673076891211617,0.20562336075183094,1000.0
clean_test_e3_paired,0.75,Learned confidence-only,E3_score_file,825,57,0.06909090909090909,0.06909090909090909,0.6205226608187134,0.5412167070430153,0.7069803950066722,0.1520239470055166,0.09719194141000788,0.2406926482931866,1000.0
clean_test_e3_paired,0.75,Entropy,E3_score_file,825,57,0.06909090909090909,0.06909090909090909,0.4834612573099415,0.38563170346845005,0.5673670814942645,0.22047790237411105,0.12406723144863085,0.3137605904960684,1000.0
loco_tau75_micro,0.75,TCSR-Monitor,E3_score_file,24750,9264,0.3743030303030303,0.3743030303030303,0.9200740251599472,0.916339720957227,0.9240936140321004,0.9026806149614582,0.8982788196675723,0.9073531230807842,1000.0
loco_tau75_micro,0.75,Learned confidence-only,E3_score_file,24750,9264,0.3743030303030303,0.3743030303030303,0.9120376179097193,0.9081643053102068,0.9161130056147436,0.8879538188642708,0.88301058138409,0.8927131480273299,1000.0
loco_tau75_micro,0.75,Entropy,E3_score_file,24750,9264,0.3743030303030303,0.3743030303030303,0.5938921035312524,0.5853653892034266,0.6032689968634304,0.633638201900679,0.6251726560716907,0.6426522272927296,1000.0
circularity_control_within_corrupted,0.75,TCSR-Monitor,aggregate_only:circularity_control.json,24750,9264,0.3743030303030303,0.3743030303030303,0.9456449235612443,0.9426498355551609,0.9488369309967154,0.9367695787815223,,,
circularity_control_within_corrupted,0.75,Entropy,aggregate_only:circularity_control.json,24750,9264,0.3743030303030303,0.3743030303030303,0.5938921035312524,,,0.633638201900679,,,
sam2_transfer,0.5,UNet-monitor→SAM2 (transfer),aggregate_only:sam2_transfer.json,825,375,0.45454545454545453,0.45454545454545453,0.895691851851852,0.8734424765580802,0.9153486389228194,0.8834023915900426,0.8516184933336808,0.9095535169027447,
sam2_transfer,0.5,Entropy→SAM2,aggregate_only:sam2_transfer.json,825,375,0.45454545454545453,0.45454545454545453,0.9839762962962962,0.9752088450397689,0.9904248326580232,0.975219424632206,0.9586984526636363,0.9869762202433485,
sam2_transfer,0.5,SAM2-monitor→SAM2 (upper-bound),aggregate_only:sam2_transfer.json,825,375,0.45454545454545453,0.45454545454545453,0.9972148148148148,0.9953066319553742,0.9986734871255037,0.9966494888143033,0.9941793649630529,0.9984207458899462,
sam2_transfer,0.75,UNet-monitor→SAM2 (transfer),aggregate_only:sam2_transfer.json,825,422,0.5115151515151515,0.5115151515151515,0.9298154834005621,0.9123676069136242,0.945399442920625,0.9467176895685196,0.9331130761513864,0.9586299129734723,
sam2_transfer,0.75,Entropy→SAM2,aggregate_only:sam2_transfer.json,825,422,0.5115151515151515,0.5115151515151515,0.9881575388378628,0.9791518929403874,0.9944874694206925,0.9886602324914758,0.9781543943063525,0.995447366317501,
sam2_transfer,0.75,SAM2-monitor→SAM2 (upper-bound),aggregate_only:sam2_transfer.json,825,422,0.5115151515151515,0.5115151515151515,0.9968600425717075,0.9942455776271826,0.9986401585302402,0.9972686527959361,0.9950146140871255,0.9987768890104587,
