held_out,model,auroc,auprc,failure_rate
brightness,TCSR-Monitor,0.9285745148956124,0.9382592076677043,0.5330909090909091
brightness,Learned confidence-only,0.8983963021046573,0.8916632723564529,0.5330909090909091
brightness,Entropy,0.2761763465598684,0.44997201226917694,0.5330909090909091
contrast,TCSR-Monitor,0.9840617536186008,0.9938931777327313,0.713939393939394
contrast,Learned confidence-only,0.981252769704469,0.9928316497047915,0.713939393939394
contrast,Entropy,0.9756009898995712,0.9911004900415876,0.713939393939394
gaussian_blur,TCSR-Monitor,0.8039415300374484,0.4433782362951707,0.10424242424242425
gaussian_blur,Learned confidence-only,0.7658514019573905,0.39200370322991007,0.10424242424242425
gaussian_blur,Entropy,0.4548588601818926,0.21111225962195215,0.10424242424242425
gaussian_noise,TCSR-Monitor,0.9509397260273973,0.9633383922435517,0.5575757575757576
gaussian_noise,Learned confidence-only,0.9632823108993448,0.9753449556352849,0.5575757575757576
gaussian_noise,Entropy,0.28429243597379394,0.4947957823318354,0.5575757575757576
jpeg_compression,TCSR-Monitor,0.8508322113633123,0.7044331101233215,0.24606060606060606
jpeg_compression,Learned confidence-only,0.8673573250122757,0.7121423347685061,0.24606060606060606
jpeg_compression,Entropy,0.6492271870495621,0.48492780687435155,0.24606060606060606
motion_blur,TCSR-Monitor,0.7882343111111111,0.4098232177799004,0.09090909090909091
motion_blur,Learned confidence-only,0.7888049777777778,0.3723902111857183,0.09090909090909091
motion_blur,Entropy,0.5169792,0.2323959402430813,0.09090909090909091
