split,tau,baseline,n_frames,n_failures,failure_rate,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,n_bootstraps
clean_test,0.50,bl_max_softmax,825,14,0.01696969696969697,0.5357142857142857,0.525,0.6254934210526312,0.08718614718614719,0.07303030303030303,0.26570454545454436,638
clean_test,0.50,bl_entropy,825,14,0.01696969696969697,0.7641359873172451,0.5574157089911598,0.9473682324128168,0.6354097220892094,0.371838615951238,0.8987354952573356,1000
clean_test,0.50,bl_temporal_heuristic,825,14,0.01696969696969697,0.3382067993658623,0.19970784208141285,0.5025302058354072,0.012966751816254236,0.007279070880114191,0.0240202927667256,1000
clean_test,0.75,bl_max_softmax,825,57,0.06909090909090909,0.5087719298245614,0.5073449488491049,0.532827868852459,0.08542264752791068,0.07555555555555556,0.13455439642324885,638
clean_test,0.75,bl_entropy,825,57,0.06909090909090909,0.4834612573099415,0.3830849095394738,0.5770668753229512,0.22047790237411105,0.126285451943156,0.32653062324724663,1000
clean_test,0.75,bl_temporal_heuristic,825,57,0.06909090909090909,0.4598410087719298,0.3714887515119279,0.5460491988376517,0.07421070613240022,0.04971086092646874,0.11175734454380552,1000
corrupted_test,0.50,bl_max_softmax,24750,5724,0.23127272727272727,0.7862881859117646,0.779779241869843,0.7926985420982777,0.6667101211409894,0.6561397739181271,0.6768527612686799,1000
corrupted_test,0.50,bl_entropy,24750,5724,0.23127272727272727,0.5401701718924774,0.527698078077108,0.5508649208682852,0.5223381666163176,0.5097171976172551,0.5336826889630223,1000
corrupted_test,0.50,bl_temporal_heuristic,24750,5724,0.23127272727272727,0.8385571974295648,0.8326417756964184,0.8447042952036043,0.5176454807107627,0.5052847194252255,0.5307620897560132,1000
corrupted_test,0.75,bl_max_softmax,24750,9264,0.3743030303030303,0.6866361214999029,0.6815451620871554,0.6919437930802923,0.6078323170666133,0.6002695734176883,0.615648669537426,1000
corrupted_test,0.75,bl_entropy,24750,9264,0.3743030303030303,0.5938921035312524,0.5852190263803231,0.6019338072815104,0.633638201900679,0.6240134433846614,0.6425822866221617,1000
corrupted_test,0.75,bl_temporal_heuristic,24750,9264,0.3743030303030303,0.7964179740205483,0.7906115730956512,0.802904809163169,0.5992612410868072,0.5890635647440357,0.6102798935268762,1000
