scope,feature_set,learner,held_out,auroc,auprc,n,n_failures,failure_rate,train_seconds,n_train,n_train_failures,n_cal,n_cal_failures,train_types
clean_tau75,full,logreg,,0.5164702119883041,0.1367220534859112,825,57,0.06909090909090909,0.022882984019815922,1350,77,225,38,
clean_tau75,full,random_forest,,0.6791049890350878,0.17615895305017965,825,57,0.06909090909090909,0.5815939299063757,1350,77,225,38,
clean_tau75,full,xgboost,,0.6721377010233918,0.13189363346071395,825,57,0.06909090909090909,22.151013812981546,1350,77,225,38,
clean_tau75,confidence_only,logreg,,0.5892269736842105,0.17765990008537144,825,57,0.06909090909090909,0.012457691947929561,1350,77,225,38,
clean_tau75,confidence_only,random_forest,,0.6325612207602339,0.17058067692463752,825,57,0.06909090909090909,0.543855978990905,1350,77,225,38,
clean_tau75,confidence_only,xgboost,,0.6205226608187134,0.1520239470055166,825,57,0.06909090909090909,16.915260450099595,1350,77,225,38,
loco_tau75_brightness,full,logreg,brightness,0.6970868944960822,0.8175643926535374,4125,2199,0.5330909090909091,3.2991366119822487,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,full,random_forest,brightness,0.9175819557365119,0.9439122590082122,4125,2199,0.5330909090909091,1.6022875300841406,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,full,xgboost,brightness,0.9285745148956124,0.9382592076677043,4125,2199,0.5330909090909091,16.659097983967513,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,confidence_only,logreg,brightness,0.6971400197484272,0.8171784352970856,4125,2199,0.5330909090909091,0.10116398707032204,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,confidence_only,random_forest,brightness,0.9351850671290689,0.9522724921711956,4125,2199,0.5330909090909091,1.081332101020962,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,confidence_only,xgboost,brightness,0.8983963021046573,0.8916632723564529,4125,2199,0.5330909090909091,15.139213150017895,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,full,logreg,contrast,0.9493341198814422,0.9819501759055314,4125,2945,0.713939393939394,4.778967401012778,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,full,random_forest,contrast,0.9840568616730454,0.9936522132991621,4125,2945,0.713939393939394,1.8290247810073197,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,full,xgboost,contrast,0.9840617536186008,0.9938931777327313,4125,2945,0.713939393939394,93.41955750796478,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,confidence_only,logreg,contrast,0.9850781272481366,0.9942413375947247,4125,2945,0.713939393939394,0.11650212900713086,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,confidence_only,random_forest,contrast,0.9787413311847142,0.9917646630279914,4125,2945,0.713939393939394,0.9519886169582605,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,confidence_only,xgboost,contrast,0.981252769704469,0.9928316497047915,4125,2945,0.713939393939394,54.19020042498596,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,full,logreg,gaussian_blur,0.7424873336060672,0.36215448182959875,4125,430,0.10424242424242425,6.040948385023512,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,full,random_forest,gaussian_blur,0.8159454951694622,0.47612490190559126,4125,430,0.10424242424242425,1.6917001880938187,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,full,xgboost,gaussian_blur,0.8039415300374484,0.4433782362951707,4125,430,0.10424242424242425,57.83737658103928,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,confidence_only,logreg,gaussian_blur,0.7556175850457878,0.3924505645934384,4125,430,0.10424242424242425,0.0828355469275266,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,confidence_only,random_forest,gaussian_blur,0.7594017685747554,0.40208056073395027,4125,430,0.10424242424242425,1.0430128370644525,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,confidence_only,xgboost,gaussian_blur,0.7658514019573905,0.39200370322991007,4125,430,0.10424242424242425,29.09396618802566,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,full,logreg,gaussian_noise,0.9545160214413342,0.971393754951609,4125,2300,0.5575757575757576,2.614606861025095,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,full,random_forest,gaussian_noise,0.9603820131030376,0.9686746450628341,4125,2300,0.5575757575757576,1.682080387021415,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,full,xgboost,gaussian_noise,0.9509397260273973,0.9633383922435517,4125,2300,0.5575757575757576,39.934724171995185,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,confidence_only,logreg,gaussian_noise,0.6939104228707564,0.8371874958823807,4125,2300,0.5575757575757576,0.1078947460046038,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,confidence_only,random_forest,gaussian_noise,0.9653623585467539,0.9769839866665866,4125,2300,0.5575757575757576,0.993042542017065,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,confidence_only,xgboost,gaussian_noise,0.9632823108993448,0.9753449556352849,4125,2300,0.5575757575757576,42.57848250796087,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_jpeg_compression,full,logreg,jpeg_compression,0.7894454564174045,0.6466065150496529,4125,1015,0.24606060606060606,3.6047596250427887,35100,14912,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,motion_blur"
loco_tau75_jpeg_compression,full,random_forest,jpeg_compression,0.8800045934772623,0.7329583795559493,4125,1015,0.24606060606060606,1.6779423060361296,35100,14912,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,motion_blur"
loco_tau75_jpeg_compression,full,xgboost,jpeg_compression,0.8508322113633123,0.7044331101233215,4125,1015,0.24606060606060606,21.86101250909269,35100,14912,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,motion_blur"
loco_tau75_jpeg_compression,confidence_only,logreg,jpeg_compression,0.8542252071024661,0.7294999698769212,4125,1015,0.24606060606060606,0.09860153798945248,35100,14912,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,motion_blur"
loco_tau75_jpeg_compression,confidence_only,random_forest,jpeg_compression,0.8542654396274532,0.6894853008791401,4125,1015,0.24606060606060606,1.003041008953005,35100,14912,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,motion_blur"
loco_tau75_jpeg_compression,confidence_only,xgboost,jpeg_compression,0.8673573250122757,0.7121423347685061,4125,1015,0.24606060606060606,45.11663500906434,35100,14912,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,motion_blur"
loco_tau75_motion_blur,full,logreg,motion_blur,0.7597468444444445,0.3410665115142771,4125,375,0.09090909090909091,4.1731982219498605,35100,16326,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,jpeg_compression"
loco_tau75_motion_blur,full,random_forest,motion_blur,0.8286069333333334,0.4587729673988257,4125,375,0.09090909090909091,1.6876653019571677,35100,16326,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,jpeg_compression"
loco_tau75_motion_blur,full,xgboost,motion_blur,0.7882343111111111,0.4098232177799004,4125,375,0.09090909090909091,27.319512650021352,35100,16326,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,jpeg_compression"
loco_tau75_motion_blur,confidence_only,logreg,motion_blur,0.7556288,0.3762072526607021,4125,375,0.09090909090909091,0.08825464197434485,35100,16326,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,jpeg_compression"
loco_tau75_motion_blur,confidence_only,random_forest,motion_blur,0.7664981333333333,0.3821016575751032,4125,375,0.09090909090909091,1.0738398500252515,35100,16326,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,jpeg_compression"
loco_tau75_motion_blur,confidence_only,xgboost,motion_blur,0.7888049777777778,0.3723902111857183,4125,375,0.09090909090909091,100.28479272511322,35100,16326,225,38,"brightness,contrast,gaussian_blur,gaussian_noise,jpeg_compression"
loco_tau75_macro,confidence_only,logreg,,0.7902666936692624,0.6911275093175421,,,,0.5952525889733806,,,,,
loco_tau75_macro,confidence_only,random_forest,,0.8765756830660131,0.7324481101756611,,,,6.146256956038997,,,,,
loco_tau75_macro,confidence_only,xgboost,,0.8774908479093192,0.7227293544801107,,,,286.40329000516795,,,,,
loco_tau75_macro,full,logreg,,0.8154361117144626,0.6867893053173676,,,,24.511617106036283,,,,,
loco_tau75_macro,full,random_forest,,0.897762975415442,0.7623492277050957,,,,10.170700494199991,,,,,
loco_tau75_macro,full,xgboost,,0.8844306745089137,0.7421875569737301,,,,257.0312814040808,,,,,
loco_tau75_micro,full,logreg,,0.8064035762314259,0.8127520287353455,24750,9264,0.3743030303030303,,,,,,
loco_tau75_micro,full,random_forest,,0.9322298560045431,0.9216279033419715,24750,9264,0.3743030303030303,,,,,,
loco_tau75_micro,full,xgboost,,0.9200740251599472,0.9026806149614582,24750,9264,0.3743030303030303,,,,,,
loco_tau75_micro,confidence_only,logreg,,0.809855068269362,0.8363454247865205,24750,9264,0.3743030303030303,,,,,,
loco_tau75_micro,confidence_only,random_forest,,0.9317646466907433,0.9235160800035161,24750,9264,0.3743030303030303,,,,,,
loco_tau75_micro,confidence_only,xgboost,,0.9120376179097193,0.8879538188642708,24750,9264,0.3743030303030303,,,,,,
