scope,held_out_sequence,training_condition,feature_set,auroc,auroc_ci_lo,auroc_ci_hi,auroc_sequence_std,auprc,auprc_ci_lo,auprc_ci_hi,auprc_sequence_std,n,n_failures,failure_rate,n_features,train_seconds,n_train_pool,n_train_pool_failures,n_fit,n_fit_failures,n_val,n_val_failures,score_column,auprc_n_boot,auroc_n_boot
clean_loso_tau75,seq01,clean_only,full,0.893015873015873,0.7756970234776375,0.9804535186581755,,0.6994006655154197,0.45503573438944955,0.8908051059988277,,225,15,0.06666666666666667,22,125.73755997791886,2175,157,1740,126,435,31,clean_only_full,1000,1000
clean_loso_tau75,seq01,clean_only,confidence_only,0.8074603174603174,0.5977053638763197,0.9604658078283377,,0.7409911636135071,0.4947014732788811,0.9280771002031705,,225,15,0.06666666666666667,7,20.018507193075493,2175,157,1740,126,435,31,clean_only_confidence_only,1000,1000
clean_loso_tau75,seq02,clean_only,full,nan,nan,nan,,nan,nan,nan,,225,0,0.0,22,19.16071570594795,2175,172,1740,138,435,34,clean_only_full,0,0
clean_loso_tau75,seq02,clean_only,confidence_only,nan,nan,nan,,nan,nan,nan,,225,0,0.0,7,19.70256344100926,2175,172,1740,138,435,34,clean_only_confidence_only,0,0
clean_loso_tau75,seq03,clean_only,full,1.0,0.9999999999999999,1.0,,1.0,1.0,1.0,,225,1,0.0044444444444444444,22,74.85443737194873,2175,171,1740,137,435,34,clean_only_full,666,622
clean_loso_tau75,seq03,clean_only,confidence_only,1.0,0.9999999999999999,1.0,,1.0,1.0,1.0,,225,1,0.0044444444444444444,7,41.866644765017554,2175,171,1740,137,435,34,clean_only_confidence_only,666,622
clean_loso_tau75,seq04,clean_only,full,nan,nan,nan,,nan,nan,nan,,225,0,0.0,22,23.50943246204406,2175,172,1740,138,435,34,clean_only_full,0,0
clean_loso_tau75,seq04,clean_only,confidence_only,nan,nan,nan,,nan,nan,nan,,225,0,0.0,7,19.630308193038218,2175,172,1740,138,435,34,clean_only_confidence_only,0,0
clean_loso_tau75,seq05,clean_only,full,0.8239652529381707,0.7490901687415803,0.8928056601218687,,0.23808868605645103,0.13746168919287943,0.4352045930299672,,225,19,0.08444444444444445,22,43.08364902401809,2175,153,1740,122,435,31,clean_only_full,1000,1000
clean_loso_tau75,seq05,clean_only,confidence_only,0.9292284108329075,0.867786081992856,0.9736845826387234,,0.6381923491589141,0.42974529689404967,0.8222507828878257,,225,19,0.08444444444444445,7,47.35796134197153,2175,153,1740,122,435,31,clean_only_confidence_only,1000,1000
clean_loso_tau75,seq06,clean_only,full,0.6557377049180327,0.554019858222552,0.7438013894294413,,0.4184393138678457,0.2858590826035911,0.5691256269183409,,225,42,0.18666666666666668,22,19.44822387699969,2175,130,1740,104,435,26,clean_only_full,1000,1000
clean_loso_tau75,seq06,clean_only,confidence_only,0.7631407754358576,0.6863825705357963,0.8359256939495276,,0.5033125240678411,0.36761395936968844,0.6389968969267973,,225,42,0.18666666666666668,7,19.039612537948415,2175,130,1740,104,435,26,clean_only_confidence_only,1000,1000
clean_loso_tau75,seq07,clean_only,full,0.8751055446101885,0.8166739826897055,0.9280615241939649,,0.5201131339043191,0.37967363051736747,0.6860077715061729,,225,38,0.1688888888888889,22,31.74877402500715,2175,134,1740,107,435,27,clean_only_full,1000,1000
clean_loso_tau75,seq07,clean_only,confidence_only,0.8634956374894456,0.8108347838100165,0.9130492649282322,,0.4307588733566931,0.31202774050802495,0.5791320465544242,,225,38,0.1688888888888889,7,20.722182190045714,2175,134,1740,107,435,27,clean_only_confidence_only,1000,1000
clean_loso_tau75,seq08,clean_only,full,0.6790883892824146,0.5811970565442788,0.7739992260061919,,0.2751712247209584,0.1721764663974981,0.43931269374521126,,225,34,0.1511111111111111,22,30.194335976964794,2175,138,1740,110,435,28,clean_only_full,1000,1000
