scope,temporal_mode,held_out,auroc,auprc,n,n_failures,failure_rate,n_features,train_seconds,n_train,n_train_failures,n_cal,n_cal_failures,train_types
clean_tau75,normal,,0.6721377010233918,0.13189363346071395,825,57,0.06909090909090909,22,22.698245655046776,1350,77,225,38,
clean_tau75,no_temporal,,0.6129043311403508,0.1343441875666569,825,57,0.06909090909090909,17,19.680518898065202,1350,77,225,38,
clean_tau75,reset,,0.6863578216374269,0.12219573690479317,825,57,0.06909090909090909,22,22.993701903964393,1350,77,225,38,
clean_tau75,shuffled,,0.6939418859649124,0.14640938570470519,825,57,0.06909090909090909,22,24.81229371705558,1350,77,225,38,
loco_tau75_brightness,normal,brightness,0.9285745148956124,0.9382592076677043,4125,2199,0.5330909090909091,22,17.66873796703294,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,no_temporal,brightness,0.8268109690187696,0.8922186006217272,4125,2199,0.5330909090909091,17,18.095210490981117,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,reset,brightness,0.9099917738498146,0.9305551098847699,4125,2199,0.5330909090909091,22,17.3385411798954,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_brightness,shuffled,brightness,0.9206721926373593,0.9341504249638548,4125,2199,0.5330909090909091,22,20.81605891196523,35100,12931,225,38,"contrast,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,normal,contrast,0.9840617536186008,0.9938931777327313,4125,2945,0.713939393939394,22,99.29297133092768,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,no_temporal,contrast,0.97997884952951,0.9910768517493405,4125,2945,0.713939393939394,17,33.502461723051965,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,reset,contrast,0.9839567206699088,0.993804592779977,4125,2945,0.713939393939394,22,38.29022588103544,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_contrast,shuffled,contrast,0.9847589997410147,0.9941855998837902,4125,2945,0.713939393939394,22,109.03943990706466,35100,10391,225,38,"brightness,gaussian_blur,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,normal,gaussian_blur,0.8039415300374484,0.4433782362951707,4125,430,0.10424242424242425,22,62.23338468710426,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,no_temporal,gaussian_blur,0.7851792176731598,0.4321487825678125,4125,430,0.10424242424242425,17,53.96835950692184,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,reset,gaussian_blur,0.7753460049721497,0.43647958539914594,4125,430,0.10424242424242425,22,21.37878253706731,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_blur,shuffled,gaussian_blur,0.7753239764609623,0.4370184813971703,4125,430,0.10424242424242425,22,21.981007502996363,35100,16307,225,38,"brightness,contrast,gaussian_noise,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,normal,gaussian_noise,0.9509397260273973,0.9633383922435517,4125,2300,0.5575757575757576,22,40.44193596299738,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,no_temporal,gaussian_noise,0.9501511614055986,0.962330811822872,4125,2300,0.5575757575757576,17,44.41895577299874,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,reset,gaussian_noise,0.861880285884455,0.8809466413387798,4125,2300,0.5575757575757576,22,16.476587460027076,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
loco_tau75_gaussian_noise,shuffled,gaussian_noise,0.861880285884455,0.8809466413387798,4125,2300,0.5575757575757576,22,17.763198051950894,35100,12675,225,38,"brightness,contrast,gaussian_blur,jpeg_compression,motion_blur"
